                   0 a=    x, b=    x, c=x, s=    x, cout=x
                 624 a=60781, b= 9415, c=1, s=  293, cout=1
                 625 a=60781, b= 9415, c=1, s= 4149, cout=1
                 627 a=60781, b= 9415, c=1, s= 4661, cout=1
                 630 a=27944, b=38144, c=0, s= 4661, cout=1
                 631 a=27944, b=38144, c=0, s= 4660, cout=1
                 632 a=27944, b=38144, c=0, s= 9142, cout=1
                 633 a=27944, b=38144, c=0, s=16952, cout=1
                 635 a=27944, b=38144, c=0, s=33320, cout=1
                 636 a=27944, b=38144, c=0, s=33320, cout=0
                 637 a=27944, b=38144, c=0, s=  552, cout=0
                 638 a=27944, b=38144, c=0, s=  552, cout=1
                 640 a=29726, b= 2383, c=0, s=  552, cout=1
                 642 a=29726, b= 2383, c=0, s=34641, cout=0
                 643 a=29726, b= 2383, c=0, s=36173, cout=0
                 645 a=29726, b= 2383, c=0, s=40301, cout=0
                 647 a=29726, b= 2383, c=0, s=48493, cout=0
                 649 a=29726, b= 2383, c=0, s=64877, cout=0
                 650 a=18684, b=36867, c=1, s=64877, cout=0
                 651 a=18684, b=36867, c=1, s=32108, cout=0
                 652 a=18684, b=36867, c=1, s=55490, cout=0
                 653 a=18684, b=36867, c=1, s=55428, cout=0
                 655 a=18684, b=36867, c=1, s=55304, cout=0
                 657 a=18684, b=36867, c=1, s=55568, cout=0
                 659 a=18684, b=36867, c=1, s=55584, cout=0
                 660 a=47710, b=32350, c=1, s=55584, cout=0
                 661 a=47710, b=32350, c=1, s=55616, cout=0
                 662 a=47710, b=32350, c=1, s=50623, cout=0
                 663 a=47710, b=32350, c=1, s=45245, cout=0
                 665 a=47710, b=32350, c=1, s=14525, cout=0
                 666 a=47710, b=32350, c=1, s=14525, cout=1
                 670 a=54415, b=44193, c=1, s=14525, cout=1
                 672 a=54415, b=44193, c=1, s=33939, cout=1
                 673 a=54415, b=44193, c=1, s=33141, cout=1
                 675 a=54415, b=44193, c=1, s=33081, cout=1
                 677 a=54415, b=44193, c=1, s=33057, cout=1
                 679 a=54415, b=44193, c=1, s=33073, cout=1
                 680 a= 4086, b= 9445, c=1, s=33073, cout=1
                 682 a= 4086, b= 9445, c=1, s=53772, cout=0
                 683 a= 4086, b= 9445, c=1, s=28924, cout=0
                 685 a= 4086, b= 9445, c=1, s=13532, cout=0
                 690 a= 3819, b=49272, c=1, s=13532, cout=0
                 692 a= 3819, b=49272, c=1, s=53596, cout=0
                 693 a= 3819, b=49272, c=1, s=54084, cout=0
                 695 a= 3819, b=49272, c=1, s=55140, cout=0
                 697 a= 3819, b=49272, c=1, s=57188, cout=0
                 699 a= 3819, b=49272, c=1, s=53092, cout=0
                 700 a= 4378, b=  294, c=0, s=53092, cout=0
                 701 a= 4378, b=  294, c=0, s=53093, cout=0
                 702 a= 4378, b=  294, c=0, s= 4554, cout=0
                 703 a= 4378, b=  294, c=0, s= 4688, cout=0
                 705 a= 4378, b=  294, c=0, s= 4704, cout=0
                 707 a= 4378, b=  294, c=0, s= 4608, cout=0
                 709 a= 4378, b=  294, c=0, s= 4672, cout=0
                 710 a=26865, b= 6514, c=1, s= 4672, cout=0
                 711 a=26865, b= 6514, c=1, s= 4673, cout=0
                 712 a=26865, b= 6514, c=1, s=29694, cout=0
                 713 a=26865, b= 6514, c=1, s=24928, cout=0
                 715 a=26865, b= 6514, c=1, s=16484, cout=0
                 717 a=26865, b= 6514, c=1, s=  612, cout=0
                 719 a=26865, b= 6514, c=1, s=33380, cout=0
                 720 a=47560, b=43647, c=0, s=33380, cout=0
                 721 a=47560, b=43647, c=0, s=33381, cout=0
                 722 a=47560, b=43647, c=0, s=57425, cout=1
                 723 a=47560, b=43647, c=0, s=25707, cout=1
                 725 a=47560, b=43647, c=0, s=25615, cout=1
                 727 a=47560, b=43647, c=0, s=25671, cout=1
                 730 a=51572, b=47944, c=0, s=25671, cout=1
                 732 a=51572, b=47944, c=0, s= 1484, cout=1
                 733 a=51572, b=47944, c=0, s=34012, cout=1
                 735 a=51572, b=47944, c=0, s=34044, cout=1
                 737 a=51572, b=47944, c=0, s=33980, cout=1
                 740 a=48436, b= 7670, c=1, s=33980, cout=1
                 741 a=48436, b= 7670, c=1, s=33981, cout=1
                 742 a=48436, b= 7670, c=1, s=22083, cout=1
                 743 a=48436, b= 7670, c=1, s=56235, cout=1
                 744 a=48436, b= 7670, c=1, s=56235, cout=0
                 745 a=48436, b= 7670, c=1, s=55851, cout=0
                 747 a=48436, b= 7670, c=1, s=56107, cout=0
                 750 a=49672, b= 2706, c=0, s=56107, cout=0
                 751 a=49672, b= 2706, c=0, s=56106, cout=0
                 752 a=49672, b= 2706, c=0, s=45938, cout=0
                 753 a=49672, b= 2706, c=0, s=23946, cout=0
                 754 a=49672, b= 2706, c=0, s=23946, cout=1
                 755 a=49672, b= 2706, c=0, s=52410, cout=1
                 756 a=49672, b= 2706, c=0, s=52410, cout=0
                 757 a=49672, b= 2706, c=0, s=52378, cout=0
                 760 a=36636, b=26768, c=0, s=52378, cout=0
                 762 a=36636, b=26768, c=0, s=58252, cout=0
                 763 a=36636, b=26768, c=0, s=65452, cout=0
                 765 a=36636, b=26768, c=0, s=63404, cout=0
                 770 a= 1201, b=11183, c=0, s=63404, cout=0
                 772 a= 1201, b=11183, c=0, s=16190, cout=0
                 773 a= 1201, b=11183, c=0, s=11868, cout=0
