                   0 a =     x, b =     x, cin = x, s =     x, cout = x
                2010 a = 14464, b = 46555, cin = 0, s = 61019, cout = 0
                2020 a = 50615, b =  8339, cin = 1, s = 58955, cout = 0
                2030 a =  6117, b = 55850, cin = 1, s = 61968, cout = 0
                2040 a = 20913, b = 53819, cin = 1, s =  9197, cout = 1
                2050 a = 27572, b = 33490, cin = 0, s = 61062, cout = 0
                2060 a =  2923, b = 55257, cin = 1, s = 58181, cout = 0
                2070 a = 58328, b = 37952, cin = 0, s = 30744, cout = 1
                2080 a = 12320, b = 28847, cin = 1, s = 41168, cout = 0
                2090 a =  7072, b = 30783, cin = 1, s = 37856, cout = 0
                2100 a = 24636, b = 60199, cin = 0, s = 19299, cout = 1
                2110 a = 50940, b = 51015, cin = 0, s = 36419, cout = 1
                2120 a =  3548, b = 31631, cin = 1, s = 35180, cout = 0
                2130 a = 38238, b = 14100, cin = 1, s = 52339, cout = 0
                2140 a = 49355, b = 35013, cin = 1, s = 18833, cout = 1
                2150 a = 24466, b = 38938, cin = 1, s = 63405, cout = 0
                2160 a =  5274, b = 41861, cin = 0, s = 47135, cout = 0
                2170 a = 27107, b =  6542, cin = 0, s = 33649, cout = 0
                2180 a = 56515, b = 65214, cin = 0, s = 56193, cout = 1
                2190 a = 46700, b = 48638, cin = 1, s = 29803, cout = 1
                2200 a = 18841, b =  3274, cin = 1, s = 22116, cout = 0
                2210 a =  1869, b = 30567, cin = 0, s = 32436, cout = 0
                2220 a = 31453, b = 34115, cin = 1, s =    33, cout = 1
                2230 a =  3841, b = 48705, cin = 1, s = 52547, cout = 0
                2240 a = 45854, b = 28060, cin = 1, s =  8379, cout = 1
                2250 a =  6151, b = 52526, cin = 1, s = 58678, cout = 0
                2260 a =  4402, b = 34152, cin = 0, s = 38554, cout = 0
                2270 a =  1686, b = 37611, cin = 0, s = 39297, cout = 0
                2280 a = 41387, b =   478, cin = 0, s = 41865, cout = 0
                2290 a = 39935, b = 23530, cin = 0, s = 63465, cout = 0
                2300 a = 21970, b = 42371, cin = 1, s = 64342, cout = 0
                2310 a = 64205, b = 44241, cin = 0, s = 42910, cout = 1
                2320 a = 17456, b =  5694, cin = 1, s = 23151, cout = 0
                2330 a = 48689, b = 51423, cin = 1, s = 34577, cout = 1
                2340 a = 24023, b = 27278, cin = 1, s = 51302, cout = 0
                2350 a = 10722, b =  9781, cin = 0, s = 20503, cout = 0
                2360 a = 36359, b = 56072, cin = 0, s = 26895, cout = 1
                2370 a = 10209, b = 57758, cin = 0, s =  2431, cout = 1
                2380 a = 36954, b = 29145, cin = 0, s =   563, cout = 1
                2390 a = 58912, b = 45432, cin = 1, s = 38809, cout = 1
                2400 a = 59509, b =  1867, cin = 0, s = 61376, cout = 0
                2410 a = 63380, b = 61608, cin = 1, s = 59453, cout = 1
                2420 a = 27818, b =  9064, cin = 0, s = 36882, cout = 0
                2430 a =  2723, b = 57754, cin = 1, s = 60478, cout = 0
                2440 a = 26334, b = 58129, cin = 1, s = 18928, cout = 1
                2450 a = 54358, b =  3315, cin = 1, s = 57674, cout = 0
                2460 a = 41260, b = 11562, cin = 1, s = 52823, cout = 0
                2470 a = 62314, b = 21771, cin = 1, s = 18550, cout = 1
                2480 a = 50980, b = 58725, cin = 1, s = 44170, cout = 1
                2490 a = 16477, b = 23990, cin = 1, s = 40468, cout = 0
                2500 a =  5504, b = 13499, cin = 0, s = 19003, cout = 0
                2510 a = 13254, b = 53231, cin = 1, s =   950, cout = 1
                2520 a = 65246, b = 57401, cin = 1, s = 57112, cout = 1
                2530 a =  5636, b = 60124, cin = 1, s =   225, cout = 1
                2540 a =  1913, b = 62811, cin = 0, s = 64724, cout = 0
                2550 a = 62893, b = 23521, cin = 1, s = 20879, cout = 1
                2560 a = 21766, b = 64781, cin = 1, s = 21012, cout = 1
                2570 a = 13063, b = 57095, cin = 1, s =  4623, cout = 1
                2580 a = 62118, b = 14428, cin = 0, s = 11010, cout = 1
                2590 a = 46671, b =  7257, cin = 0, s = 53928, cout = 0
                2600 a =  6657, b = 59113, cin = 1, s =   235, cout = 1
                2610 a = 34045, b =  2367, cin = 0, s = 36412, cout = 0
                2620 a = 53042, b = 43965, cin = 1, s = 31472, cout = 1
                2630 a = 57456, b = 49601, cin = 0, s = 41521, cout = 1
                2640 a = 49623, b = 23403, cin = 1, s =  7491, cout = 1
                2650 a =  6272, b = 16296, cin = 0, s = 22568, cout = 0
                2660 a =  8123, b = 14414, cin = 1, s = 22538, cout = 0
                2670 a = 21537, b =  3829, cin = 0, s = 25366, cout = 0
                2680 a = 56722, b = 42299, cin = 0, s = 33485, cout = 1
                2690 a = 56984, b = 18971, cin = 1, s = 10420, cout = 1
                2700 a = 57589, b = 25628, cin = 0, s = 17681, cout = 1
                2710 a =  1692, b = 59673, cin = 0, s = 61365, cout = 0
                2720 a =  3491, b = 19068, cin = 1, s = 22560, cout = 0
                2730 a = 53762, b =  6524, cin = 1, s = 60287, cout = 0
                2740 a =  4974, b = 32499, cin = 0, s = 37473, cout = 0
                2750 a = 65349, b = 15123, cin = 0, s = 14936, cout = 1
                2760 a =  9245, b = 23247, cin = 0, s = 32492, cout = 0
                2770 a = 64274, b = 44784, cin = 1, s = 43523, cout = 1
                2780 a = 12751, b =  7858, cin = 0, s = 20609, cout = 0
                2790 a = 22007, b = 64842, cin = 1, s = 21314, cout = 1
                2800 a = 38521, b = 52431, cin = 1, s = 25417, cout = 1
                2810 a = 44147, b = 54124, cin = 1, s = 32736, cout = 1
                2820 a = 28493, b = 29503, cin = 1, s = 57997, cout = 0
                2830 a = 56805, b = 13265, cin = 1, s =  4535, cout = 1
                2840 a = 41070, b = 18240, cin = 0, s = 59310, cout = 0
                2850 a = 48738, b = 13589, cin = 0, s = 62327, cout = 0
                2860 a =  2702, b =  3651, cin = 1, s =  6354, cout = 0
                2870 a = 17432, b = 63461, cin = 1, s = 15358, cout = 1
                2880 a = 35991, b = 52564, cin = 1, s = 23020, cout = 1
                2890 a =  3201, b =  4572, cin = 1, s =  7774, cout = 0
                2900 a = 59383, b = 19445, cin = 1, s = 13293, cout = 1
                2910 a = 47544, b = 63592, cin = 1, s = 45601, cout = 1
                2920 a =  1731, b =  2902, cin = 0, s =  4633, cout = 0
                2930 a = 44986, b = 55243, cin = 1, s = 34694, cout = 1
                2940 a = 24765, b = 26313, cin = 1, s = 51079, cout = 0
                2950 a = 13396, b = 51403, cin = 1, s = 64800, cout = 0
                2960 a = 17150, b = 54105, cin = 0, s =  5719, cout = 1
                2970 a = 44151, b = 47889, cin = 1, s = 26505, cout = 1
                2980 a = 22288, b = 60232, cin = 0, s = 16984, cout = 1
                2990 a =  8283, b = 63433, cin = 0, s =  6180, cout = 1
                3000 a = 35472, b = 29168, cin = 1, s = 64641, cout = 0
                3010 a = 45093, b =  6713, cin = 1, s = 51807, cout = 0
                3020 a = 61542, b =  8444, cin = 1, s =  4451, cout = 1
                3030 a = 61142, b = 53431, cin = 0, s = 49037, cout = 1
                3040 a =  4008, b = 54548, cin = 1, s = 58557, cout = 0
                3050 a = 57817, b = 44296, cin = 0, s = 36577, cout = 1
                3060 a = 55216, b = 61446, cin = 1, s = 51127, cout = 1
                3070 a = 28154, b = 11949, cin = 0, s = 40103, cout = 0
                3080 a = 64554, b = 34237, cin = 0, s = 33255, cout = 1
                3090 a = 59870, b = 18872, cin = 0, s = 13206, cout = 1
                3100 a = 36110, b = 54345, cin = 0, s = 24919, cout = 1
                3110 a = 31795, b =  5790, cin = 1, s = 37586, cout = 0
                3120 a = 21072, b =  1797, cin = 0, s = 22869, cout = 0
                3130 a =  8788, b = 34827, cin = 1, s = 43616, cout = 0
                3140 a = 28098, b = 15187, cin = 1, s = 43286, cout = 0
                3150 a = 50074, b =  3005, cin = 0, s = 53079, cout = 0
                3160 a =  7100, b = 58221, cin = 0, s = 65321, cout = 0
                3170 a = 40936, b = 16376, cin = 0, s = 57312, cout = 0
                3180 a = 52660, b = 57282, cin = 1, s = 44407, cout = 1
                3190 a = 30969, b = 23504, cin = 0, s = 54473, cout = 0
                3200 a =  2711, b = 59614, cin = 1, s = 62326, cout = 0
                3210 a =  3621, b = 21409, cin = 1, s = 25031, cout = 0
                3220 a = 33949, b = 42481, cin = 0, s = 10894, cout = 1
                3230 a = 26369, b = 27621, cin = 0, s = 53990, cout = 0
                3240 a = 24924, b = 32072, cin = 1, s = 56997, cout = 0
                3250 a =  8027, b = 12146, cin = 0, s = 20173, cout = 0
                3260 a = 11779, b =    62, cin = 0, s = 11841, cout = 0
                3270 a = 30626, b = 12886, cin = 0, s = 43512, cout = 0
                3280 a = 37774, b =    11, cin = 0, s = 37785, cout = 0
                3290 a = 55511, b = 26516, cin = 0, s = 16491, cout = 1
                3300 a = 22121, b = 29227, cin = 0, s = 51348, cout = 0
                3310 a = 43076, b =  9200, cin = 1, s = 52277, cout = 0
                3320 a = 22526, b = 43149, cin = 0, s =   139, cout = 1
                3330 a =  3772, b = 45870, cin = 0, s = 49642, cout = 0
                3340 a = 10918, b = 47146, cin = 0, s = 58064, cout = 0
                3350 a = 37716, b = 55174, cin = 0, s = 27354, cout = 1
                3360 a = 43870, b =  1417, cin = 0, s = 45287, cout = 0
                3370 a = 38246, b =  3931, cin = 1, s = 42178, cout = 0
                3380 a = 25350, b = 18057, cin = 0, s = 43407, cout = 0
                3390 a = 46088, b = 49921, cin = 0, s = 30473, cout = 1
                3400 a = 20330, b =  2042, cin = 1, s = 22373, cout = 0
                3410 a = 54186, b = 21471, cin = 1, s = 10122, cout = 1
                3420 a = 39451, b = 43997, cin = 1, s = 17913, cout = 1
                3430 a = 19902, b = 43305, cin = 1, s = 63208, cout = 0
                3440 a = 27974, b = 54224, cin = 0, s = 16662, cout = 1
                3450 a = 44470, b =  2756, cin = 0, s = 47226, cout = 0
                3460 a =  3112, b = 42162, cin = 1, s = 45275, cout = 0
                3470 a = 50056, b = 56761, cin = 1, s = 41282, cout = 1
                3480 a = 63535, b = 12111, cin = 0, s = 10110, cout = 1
                3490 a = 48913, b = 34552, cin = 1, s = 17930, cout = 1
                3500 a = 37159, b = 54882, cin = 0, s = 26505, cout = 1
                3510 a = 54632, b = 39069, cin = 1, s = 28166, cout = 1
                3520 a = 34010, b = 54872, cin = 0, s = 23346, cout = 1
                3530 a = 56537, b = 51126, cin = 1, s = 42128, cout = 1
                3540 a =  7638, b =  9100, cin = 1, s = 16739, cout = 0
                3550 a = 29534, b = 29922, cin = 1, s = 59457, cout = 0
                3560 a = 12956, b =  9386, cin = 0, s = 22342, cout = 0
                3570 a = 39684, b = 59443, cin = 1, s = 33592, cout = 1
                3580 a = 46695, b = 29330, cin = 0, s = 10489, cout = 1
                3590 a =  1763, b = 54596, cin = 0, s = 56359, cout = 0
                3600 a = 53105, b = 21755, cin = 1, s =  9325, cout = 1
                3610 a = 60137, b = 52740, cin = 0, s = 47341, cout = 1
                3620 a = 64992, b = 16750, cin = 0, s = 16206, cout = 1
                3630 a = 20196, b = 49639, cin = 1, s =  4300, cout = 1
                3640 a = 18705, b = 57277, cin = 1, s = 10447, cout = 1
                3650 a =  1439, b = 63164, cin = 0, s = 64603, cout = 0
                3660 a = 28816, b =  6120, cin = 0, s = 34936, cout = 0
                3670 a = 28356, b = 45804, cin = 1, s =  8625, cout = 1
                3680 a = 14657, b = 22499, cin = 0, s = 37156, cout = 0
                3690 a = 59422, b =   615, cin = 0, s = 60037, cout = 0
                3700 a =  3202, b = 53720, cin = 1, s = 56923, cout = 0
                3710 a = 39289, b = 20209, cin = 1, s = 59499, cout = 0
                3720 a =  1613, b = 61553, cin = 1, s = 63167, cout = 0
                3730 a = 18810, b = 11749, cin = 0, s = 30559, cout = 0
                3740 a = 17133, b = 30454, cin = 0, s = 47587, cout = 0
                3750 a =   908, b =  8245, cin = 0, s =  9153, cout = 0
                3760 a = 14606, b = 37062, cin = 0, s = 51668, cout = 0
                3770 a = 37691, b = 65418, cin = 1, s = 37574, cout = 1
                3780 a = 26570, b = 10076, cin = 0, s = 36646, cout = 0
                3790 a = 44780, b =  3962, cin = 1, s = 48743, cout = 0
                3800 a = 47586, b = 44588, cin = 1, s = 26639, cout = 1
                3810 a = 48500, b = 60230, cin = 0, s = 43194, cout = 1
                3820 a =  8505, b = 61843, cin = 1, s =  4813, cout = 1
                3830 a = 55261, b = 10653, cin = 0, s =   378, cout = 1
                3840 a = 34359, b = 27786, cin = 1, s = 62146, cout = 0
                3850 a =   735, b = 28695, cin = 0, s = 29430, cout = 0
                3860 a = 30275, b = 19653, cin = 0, s = 49928, cout = 0
                3870 a = 42288, b = 33696, cin = 1, s = 10449, cout = 1
                3880 a =  6457, b = 60267, cin = 1, s =  1189, cout = 1
                3890 a = 63125, b = 11399, cin = 1, s =  8989, cout = 1
                3900 a = 26761, b = 35338, cin = 1, s = 62100, cout = 0
                3910 a = 20468, b = 13838, cin = 1, s = 34307, cout = 0
                3920 a = 58033, b =  3159, cin = 1, s = 61193, cout = 0
                3930 a = 63502, b = 53956, cin = 0, s = 51922, cout = 1
                3940 a = 10721, b = 18316, cin = 1, s = 29038, cout = 0
                3950 a = 34746, b = 19051, cin = 0, s = 53797, cout = 0
                3960 a =  1480, b = 25679, cin = 1, s = 27160, cout = 0
                3970 a =   813, b =  2431, cin = 0, s =  3244, cout = 0
                3980 a = 61100, b = 50776, cin = 1, s = 46341, cout = 1
                3990 a = 42279, b = 43901, cin = 0, s = 20644, cout = 1
                4000 a = 22956, b = 47014, cin = 0, s =  4434, cout = 1
                4010 a = 48221, b =  1947, cin = 0, s = 50168, cout = 0
                4020 a = 63717, b = 31868, cin = 0, s = 30049, cout = 1
                4030 a =  1056, b =  1722, cin = 0, s =  2778, cout = 0
                4040 a = 65400, b = 12443, cin = 0, s = 12307, cout = 1
                4050 a = 17531, b = 23541, cin = 0, s = 41072, cout = 0
                4060 a = 44709, b =  1374, cin = 1, s = 46084, cout = 0
                4070 a = 21541, b = 63259, cin = 0, s = 19264, cout = 1
                4080 a = 32069, b = 30711, cin = 0, s = 62780, cout = 0
